value,count
0.4780130293159609,     1.0
0.4792345276872964,     1.0
0.4796416938110749,     2.0
0.4800488599348534,     3.0
0.4804560260586319,     3.0
0.4808631921824104,     6.0
0.4812703583061889,     3.0
0.4816775244299674,     2.0
0.4820846905537459,     4.0
0.4824918566775244,    10.0
0.4828990228013029,    62.0
0.4833061889250814,     9.0
0.4837133550488599,    11.0
0.48412052117263843,    4.0
0.48452768729641693,    3.0
0.48493485342019543,    2.0
0.48534201954397393,    1.0
0.48574918566775244,    1.0